client_id,age_bins,client_age,month_first_order,sex,sales,nb_order,avg_order_value,nb_prod
c_1,"(65, 71]",67.0,2021-06,m,300.6500000000001,15,20.04333333333334,20
c_10,"(65, 71]",66.0,2021-03,m,586.1800000000001,16,36.636250000000004,28
c_100,"(29, 35]",30.0,2021-04,m,222.87,3,74.29,6
c_1000,"(53, 59]",56.0,2021-03,f,980.0200000000004,42,23.333809523809535,56
c_1001,"(35, 41]",40.0,2021-03,m,1102.45,24,45.93541666666667,58
c_1002,"(35, 41]",40.0,2021-04,f,298.65000000000003,11,27.150000000000002,24
c_1003,"(35, 41]",40.0,2021-03,m,552.6700000000001,21,26.31761904761905,49
c_1004,"(47, 53]",49.0,2021-03,m,520.23,18,28.901666666666667,37
c_1005,"(77, 83]",81.0,2021-03,f,476.67,15,31.778000000000002,32
c_1006,"(41, 47]",43.0,2021-03,m,1925.4899999999998,63,30.56333333333333,143
c_1007,"(77, 83]",81.0,2021-04,f,299.34000000000003,11,27.212727272727275,15
c_1008,"(53, 59]",56.0,2021-06,m,45.97,2,22.985,3
c_1009,"(23, 29]",28.0,2021-03,f,298.64000000000004,5,59.72800000000001,10
c_101,"(17, 23]",21.0,2021-05,m,214.98999999999998,4,53.747499999999995,11
c_1010,"(23, 29]",28.0,2021-04,m,838.83,11,76.25727272727273,15
c_1011,"(17, 23]",23.0,2021-03,f,1042.3000000000002,10,104.23000000000002,34
c_1012,"(59, 65]",65.0,2021-03,f,193.62,11,17.60181818181818,13
c_1013,"(35, 41]",40.0,2021-03,m,1291.9900000000005,40,32.29975000000001,88
c_1014,"(29, 35]",33.0,2021-03,m,1427.9000000000003,45,31.73111111111112,110
c_1015,"(65, 71]",69.0,2021-03,m,913.7400000000002,38,24.045789473684216,54
c_1016,"(41, 47]",42.0,2021-03,m,1224.3500000000004,42,29.151190476190486,102
c_1017,"(41, 47]",47.0,2021-04,f,1044.5800000000002,34,30.72294117647059,79
c_1018,"(23, 29]",29.0,2021-03,f,762.53,6,127.08833333333332,11
c_1019,"(71, 77]",74.0,2021-03,f,214.66000000000003,6,35.77666666666667,13
c_102,"(35, 41]",40.0,2021-03,m,192.17000000000002,5,38.434000000000005,13
c_1020,"(41, 47]",47.0,2021-04,m,269.56000000000006,8,33.69500000000001,19
c_1021,"(17, 23]",23.0,2021-04,f,590.79,8,73.84875,10
c_1022,"(23, 29]",26.0,2021-03,m,623.7300000000001,9,69.30333333333334,14
c_1023,"(17, 23]",23.0,2021-05,m,1293.1699999999998,17,76.06882352941176,26
c_1024,"(47, 53]",52.0,2021-03,f,128.04999999999998,6,21.341666666666665,7
c_1025,"(35, 41]",38.0,2021-03,m,1613.8000000000009,60,26.896666666666682,124
c_1026,"(23, 29]",24.0,2021-03,m,997.0600000000001,12,83.08833333333334,21
c_1027,"(41, 47]",43.0,2021-03,f,728.3400000000004,26,28.013076923076937,55
c_1028,"(35, 41]",36.0,2021-03,m,1645.1500000000003,55,29.911818181818187,139
c_1029,"(65, 71]",66.0,2021-04,m,113.70999999999998,5,22.741999999999997,7
c_103,"(35, 41]",36.0,2021-03,f,1354.7,47,28.82340425531915,109
c_1030,"(71, 77]",74.0,2021-03,m,234.59,13,18.045384615384616,16
c_1031,"(53, 59]",59.0,2021-03,f,1538.7700000000002,61,25.225737704918036,77
c_1032,"(53, 59]",59.0,2021-04,m,351.56000000000006,17,20.680000000000003,25
c_1033,"(17, 23]",22.0,2021-06,f,278.41999999999996,3,92.80666666666666,4
c_1034,"(53, 59]",58.0,2021-07,f,100.77,4,25.1925,6
c_1035,"(35, 41]",41.0,2021-04,f,128.5,3,42.833333333333336,8
c_1036,"(41, 47]",46.0,2021-04,f,236.51,7,33.787142857142854,18
c_1037,"(59, 65]",61.0,2021-04,m,767.56,31,24.759999999999998,48
c_1038,"(17, 23]",20.0,2021-05,m,458.6200000000001,9,50.95777777777779,17
c_1039,"(53, 59]",59.0,2021-03,f,682.7500000000001,26,26.25961538461539,38
c_104,"(23, 29]",27.0,2021-03,m,89.23,2,44.615,3
c_1040,"(41, 47]",44.0,2021-03,m,231.79000000000002,9,25.754444444444445,20
c_1041,"(41, 47]",45.0,2021-06,f,244.98000000000005,6,40.830000000000005,20
c_1042,"(17, 23]",18.0,2021-06,f,193.57999999999998,4,48.394999999999996,6
c_1043,"(41, 47]",45.0,2021-04,f,499.0800000000001,18,27.726666666666674,46
c_1044,"(65, 71]",66.0,2021-03,m,208.95999999999998,9,23.217777777777776,11
c_1045,"(47, 53]",50.0,2021-04,f,478.9400000000001,10,47.89400000000001,34
c_1046,"(17, 23]",18.0,2021-03,m,486.16,7,69.45142857142858,19
c_1047,"(47, 53]",49.0,2021-03,m,429.84000000000003,15,28.656000000000002,33
c_1048,"(23, 29]",24.0,2021-04,m,435.98,7,62.28285714285715,9
c_1049,"(53, 59]",56.0,2021-03,m,481.1400000000001,15,32.07600000000001,29
c_105,"(41, 47]",46.0,2021-03,f,261.35,9,29.03888888888889,21
c_1050,"(35, 41]",37.0,2021-03,f,1510.1400000000008,55,27.457090909090923,117
c_1051,"(53, 59]",54.0,2021-03,f,641.2000000000002,32,20.037500000000005,41
c_1052,"(17, 23]",21.0,2021-03,m,882.7699999999999,8,110.34624999999998,19
c_1053,"(17, 23]",23.0,2021-04,m,812.45,9,90.27222222222223,20
c_1054,"(53, 59]",57.0,2021-03,f,657.1500000000002,26,25.27500000000001,39
c_1055,"(53, 59]",57.0,2021-03,f,772.0000000000001,39,19.7948717948718,45
c_1056,"(23, 29]",27.0,2021-04,f,528.1700000000001,5,105.63400000000001,9
c_1057,"(41, 47]",45.0,2021-04,f,815.39,14,58.24214285714286,52
c_1058,"(47, 53]",53.0,2021-03,f,562.3600000000001,23,24.450434782608703,30
c_1059,"(23, 29]",26.0,2021-04,f,256.73,3,85.57666666666667,5
c_106,"(53, 59]",55.0,2021-04,f,81.77,6,13.628333333333332,6
c_1060,"(47, 53]",49.0,2021-03,f,1374.5800000000004,49,28.052653061224497,115
c_1061,"(29, 35]",31.0,2021-03,m,498.70000000000016,11,45.33636363636365,35
c_1062,"(35, 41]",36.0,2021-06,m,261.05,8,32.63125,21
c_1063,"(77, 83]",83.0,2021-03,m,1285.5800000000004,57,22.554035087719306,73
c_1064,"(23, 29]",24.0,2021-03,m,994.4600000000002,13,76.49692307692308,23
c_1065,"(17, 23]",18.0,2021-03,m,670.44,11,60.94909090909091,16
c_1066,"(17, 23]",21.0,2021-03,m,246.01,5,49.202,14
c_1067,"(29, 35]",35.0,2021-03,f,1039.5000000000005,30,34.65000000000001,86
c_1068,"(35, 41]",40.0,2021-03,m,346.34000000000015,10,34.634000000000015,31
c_1069,"(23, 29]",24.0,2021-04,f,265.44,3,88.48,3
c_107,"(35, 41]",38.0,2021-03,f,955.9100000000002,33,28.966969696969702,75
c_1070,"(65, 71]",66.0,2021-03,f,408.68000000000006,12,34.05666666666667,26
c_1071,"(41, 47]",43.0,2021-05,m,603.3700000000002,16,37.710625000000014,42
c_1072,"(35, 41]",36.0,2021-03,f,604.48,16,37.78,44
c_1073,"(59, 65]",61.0,2021-03,f,158.39,6,26.39833333333333,13
c_1074,"(41, 47]",44.0,2021-03,f,2134.149999999999,62,34.42177419354837,167
c_1075,"(47, 53]",51.0,2021-03,m,693.2500000000001,24,28.88541666666667,40
c_1076,"(53, 59]",57.0,2021-03,f,182.33,8,22.79125,13
c_1077,"(35, 41]",37.0,2021-03,f,1387.8500000000006,38,36.52236842105265,106
c_1078,"(53, 59]",57.0,2021-04,f,318.41,16,19.900625,19
c_1079,"(35, 41]",39.0,2021-07,f,96.38999999999999,4,24.097499999999997,6
c_108,"(35, 41]",41.0,2021-03,f,476.6800000000001,18,26.48222222222223,36
c_1080,"(47, 53]",53.0,2021-03,f,442.2600000000001,21,21.060000000000006,27
c_1081,"(53, 59]",58.0,2021-03,m,881.9800000000001,34,25.940588235294122,49
c_1082,"(77, 83]",80.0,2021-11,m,37.980000000000004,2,18.990000000000002,3
c_1083,"(35, 41]",36.0,2021-03,f,421.2900000000001,13,32.406923076923086,34
c_1084,"(29, 35]",35.0,2021-04,f,626.2800000000002,26,24.087692307692315,56
c_1085,"(35, 41]",41.0,2021-03,m,306.6700000000001,10,30.66700000000001,23
c_1086,"(35, 41]",41.0,2021-03,m,213.84,11,19.44,23
c_1087,"(41, 47]",43.0,2021-03,m,805.0900000000004,30,26.836333333333346,66
c_1088,"(17, 23]",18.0,2021-04,f,283.43,5,56.686,7
c_1089,"(47, 53]",51.0,2021-03,m,115.16999999999999,5,23.034,7
c_109,"(17, 23]",18.0,2021-06,f,400.2,4,100.05,6
c_1090,"(47, 53]",52.0,2021-05,f,96.94,4,24.235,6
c_1091,"(41, 47]",43.0,2021-03,f,1807.8500000000006,55,32.87000000000001,137
c_1092,"(47, 53]",50.0,2021-03,f,283.40000000000003,12,23.61666666666667,26
c_1093,"(23, 29]",29.0,2021-04,f,342.58000000000004,6,57.09666666666667,11
c_1094,"(17, 23]",18.0,2021-03,f,590.4200000000001,6,98.40333333333335,14
c_1095,"(29, 35]",31.0,2021-03,f,771.1100000000001,25,30.844400000000004,58
c_1096,"(17, 23]",23.0,2021-03,f,1135.5200000000002,15,75.70133333333335,27
c_1097,"(65, 71]",69.0,2021-04,m,269.68,13,20.744615384615386,15
c_1098,"(35, 41]",36.0,2021-04,m,716.4600000000002,24,29.852500000000006,57
c_1099,"(65, 71]",66.0,2021-03,f,408.6700000000001,13,31.43615384615385,22
c_11,"(65, 71]",66.0,2021-03,f,332.00000000000006,18,18.444444444444446,21
c_110,"(41, 47]",47.0,2021-03,m,1896.9200000000005,60,31.615333333333343,149
c_1100,"(23, 29]",25.0,2021-08,m,806.3699999999999,10,80.63699999999999,22
c_1101,"(17, 23]",19.0,2021-04,m,605.66,9,67.29555555555555,13
c_1102,"(35, 41]",38.0,2021-03,f,863.3900000000001,27,31.977407407407412,64
c_1103,"(17, 23]",19.0,2021-03,m,278.28,4,69.57,5
c_1104,"(47, 53]",48.0,2021-03,f,1440.49,48,30.010208333333335,112
c_1105,"(17, 23]",18.0,2021-05,m,292.91,5,58.58200000000001,18
c_1106,"(29, 35]",33.0,2021-03,f,360.52000000000004,13,27.732307692307696,28
c_1107,"(29, 35]",30.0,2021-06,m,290.61,5,58.122,12
c_1108,"(41, 47]",45.0,2021-03,m,108.64999999999999,5,21.729999999999997,10
c_1109,"(23, 29]",24.0,2021-04,f,469.73000000000013,7,67.10428571428574,15
c_111,"(23, 29]",29.0,2021-03,m,264.7,5,52.94,10
c_1110,"(35, 41]",38.0,2021-03,f,1850.39,64,28.91234375,157
c_1111,"(17, 23]",18.0,2021-04,f,779.31,10,77.931,25
c_1112,"(29, 35]",35.0,2021-03,f,595.3900000000002,17,35.0229411764706,46
c_1113,"(47, 53]",50.0,2021-03,m,244.47,7,34.924285714285716,18
c_1114,"(41, 47]",44.0,2021-03,f,275.4600000000001,11,25.04181818181819,23
